,Inspection ID,DBA Name,AKA Name,License #,Facility Type,Risk,Address,City State Zip,Inspection Date,Inspection Type,Results
0,666251,Starbucks Coffee,STARBUCKS COFFEE,23077,Restaurant,Risk 2 (Medium),202 N Michigan AVE,"Chicago,IL,60601",12/02/2011,CANVASS,FAIL
1,1345669,Starbucks Coffee,STARBUCKS COFFEE,23077,Restaurant,Risk 2 (Medium),202 N Michigan AVE,"Chicago,IL,60601",11/15/2013,CANVASS,PASS
2,1345711,Starbucks Coffee,STARBUCKS COFFEE,23077,Restaurant,Risk 2 (Medium),202 N Michigan AVE,"Chicago,IL,60601",12/04/2013,CANVASS,OUT OF BUSINESS
3,1324241,Starbucks Coffee,STARBUCKS COFFEE,23077,Restaurant,Risk 2 (Medium),202 N Michigan AVE,"Chicago,IL,60601",12/28/2012,CANVASS,PASS
4,1290268,Carson,Carson (New),70217,School,Risk 1 (High),2550 W 56th (5600S) ST,"chicago,IL,60629",01/18/2013,CANVASS,FAIL
5,67788,Carson Old,Carson (Old),22601,School,Risk 1 (High),5516 S Maplewood (2532W) AVE,"chicago,IL,60629",01/07/2010,CANVASS,PASS
6,453328,Carson,Carson (New),70217,School,Risk 1 (High),2550 W 56th (5600S) ST,"chicago,IL,60629",01/11/2011,CANVASS,PASS
7,1369223,Cupcakes for Courage,CUPCAKES FOR COURAGE,2263359,Mobile Food Dispenser,Risk 3 (Low),108 W PARK,"ELMHURST,IL,60126",09/25/2013,LICENSE RE-INSPECTION,PASS
8,1227299,Steve's 77 Ice Cream,STEVE'S 77 ICE CREAM,1718909,Mobile Food Dispenser,Risk 3 (Low),5350 W 38TH ST,"CICERO,IL,60804",03/06/2012,LICENSE,PASS
9,1227298,Steve's 77 Ice Cream,STEVE'S 77 ICE CREAM,1718910,Mobile Food Dispenser,Risk 3 (Low),5350 W 38TH ST,"CICERO,IL,60804",03/06/2012,LICENSE,FAIL
10,1227297,Steve's 77 Ice Cream,STEVE'S 77 ICE CREAM,1718911,Mobile Food Dispenser,Risk 3 (Low),5350 W 38TH ST,"CICERO,IL,60804",03/06/2012,LICENSE,PASS
