tuple_id,src,flight,sched_dep_time,act_dep_time,sched_arr_time,act_arr_time
1061,TRAVELOCITY,AA-85-JFK-SFO,3:05 P.M.,3:36 P.M.,6:30 p.m.,6:43 p.m.
1362,ORBITZ,CO-47-IAH-LAX,7:10 P.M.,8:25 P.M.,8:56 p.m.,9:52 p.m.
1541,FLYTECOMM,UA-2906-PHL-MCO,3:50 P.M.,4:28 P.M.,6:23 p.m.,6:38 p.m.
1330,ORBITZ,AA-3-JFK-LAX,12:00 P.M.,12:11 P.M.,3:15 p.m.,3:16 p.m.
464,FLIGHTVIEW,AA-466-IAH-MIA,6:00 A.M.,6:08 A.M.,9:20 a.m.,9:05 a.m.
631,PANYNJ,CO-1586-IAH-MCO,7:00 P.M.,7:14 P.M.,10:15 p.m.,10:29 p.m.
1888,QUICKTRIP,AA-1664-MIA-ATL,10:15 A.M.,10:18 A.M.,12:10 p.m.,11:56 a.m.
2271,FLIGHTAWARE,AA-2957-DFW-CVG,7:55 A.M.,8:04 A.M.,11:05 a.m.,11:01 a.m.
1473,IFLY,AA-415-BOS-ORD,8:35 A.M.,8:56 A.M.,10:40 a.m.,10:16 a.m.
2143,BUSINESSTRAVELLOGUE,CO-50-CLE-EWR,2:55 P.M.,3:31 P.M.,4:49 p.m.,5:26 p.m.
1991,ALLEGIANTAIR,UA-248-PHX-ORD,12:57 P.M.,1:32 P.M.,5:15 p.m.,5:34 p.m.
626,FLIGHTSTATS,AA-4198-ORD-CLE,10:40 A.M.,10:54 A.M.,12:55 p.m.,12:50 p.m.
1817,FLYLOUISVILLE,AA-3756-ORD-SLC,12:15 P.M.,12:41 P.M.,2:45 p.m.,2:50 p.m.
516,FLIGHTVIEW,AA-3804-PHL-ORD,2:35 P.M.,2:44 P.M.,4:05 p.m.,3:43 p.m.
1733,UA,UA-3050-PHX-CLT,11:05 A.M.,11:30 A.M.,4:57 p.m.,5:05 p.m.
373,AIRTRAVELCENTER,UA-257-JFK-SFO,2:30 P.M.,2:26 P.M.,6:15 p.m.,5:42 p.m.
948,FLIGHTARRIVAL,UA-828-SFO-ORD,11:08 P.M.,11:08 P.M.,5:11 a.m.,5:11 a.m.
1085,FOXBUSINESS,CO-52-IAH-LAX,7:35 A.M.,7:29 A.M.,9:21 a.m.,9:14 a.m.
2005,ALLEGIANTAIR,CO-16-LAX-EWR,10:25 A.M.,10:20 A.M.,6:44 p.m.,6:34 p.m.
2285,FLIGHTAWARE,AA-4330-CVG-ORD,3:35 P.M.,3:36 P.M.,4:00 p.m.,3:33 p.m.
1119,FOXBUSINESS,AA-3842-MSP-ORD,6:00 A.M.,6:56 A.M.,7:30 a.m.,7:51 a.m.
660,PANYNJ,AA-1664-MIA-ATL,10:15 A.M.,10:18 A.M.,12:10 p.m.,11:56 a.m.
991,TRAVELOCITY,AA-518-MIA-JFK,6:40 A.M.,6:54 A.M.,9:25 a.m.,9:28 a.m.
1469,IFLY,CO-16-LAX-EWR,10:25 A.M.,10:20 A.M.,6:44 p.m.,6:34 p.m.
227,BOSTON,UA-62-IAH-EWR,2:30 P.M.,2:48 P.M.,7:03 p.m.,7:10 p.m.
2320,FLIGHTAWARE,AA-3809-PHX-LAX,6:00 A.M.,6:10 A.M.,6:40 a.m.,6:19 a.m.
1679,WUNDERGROUND,AA-3979-CVG-ORD,7:30 A.M.,8:04 A.M.,8:00 a.m.,8:06 a.m.
823,FLIGHTS,UA-414-LAX-SFO,6:00 A.M.,5:56 A.M.,7:23 a.m.,7:17 a.m.
1547,FLYTECOMM,UA-664-ORD-PHL,1:33 P.M.,1:31 P.M.,4:31 p.m.,4:23 p.m.
223,BOSTON,UA-858-PVG-SFO,1:45 P.M.,1:32 P.M.,8:27 a.m.,8:02 a.m.
1918,QUICKTRIP,UA-37-EWR-MCO,1:29 P.M.,1:48 P.M.,4:17 p.m.,4:17 p.m.
496,FLIGHTVIEW,AA-3756-ORD-SLC,12:15 P.M.,12:41 P.M.,2:45 p.m.,2:50 p.m.
1753,UA,UA-1500-IAH-GUA,8:55 A.M.,9:16 A.M.,11:45 a.m.,11:56 a.m.
76,HELLOFLIGHT,CO-1023-IAH-DEN,11:40 A.M.,11:56 A.M.,1:17 p.m.,1:14 p.m.
848,FLIGHTS,UA-2945-PHL-CLT,12:00 A.M.,3:11 A.M.,1:45 p.m.,1:15 p.m.
1924,QUICKTRIP,AA-1165-JFK-MIA,6:59 A.M.,7:22 A.M.,10:34 a.m.,10:04 a.m.
1507,FLYTECOMM,AA-484-DFW-MIA,4:15 P.M.,4:29 P.M.,7:55 p.m.,7:39 p.m.
2289,FLIGHTAWARE,AA-3-JFK-LAX,12:00 P.M.,12:11 P.M.,3:15 p.m.,3:16 p.m.
122,HELLOFLIGHT,UA-6273-YYC-SFO,7:35 A.M.,7:27 A.M.,9:43 a.m.,8:45 a.m.
829,FLIGHTS,UA-3515-IAD-MSP,8:15 A.M.,8:12 A.M.,10:06 a.m.,9:56 a.m.
2002,ALLEGIANTAIR,UA-2906-PHL-MCO,3:50 P.M.,4:28 P.M.,6:23 p.m.,6:38 p.m.
2359,WORLD-FLIGHT-TRACKER,AA-2312-DFW-DTW,8:25 P.M.,8:25 P.M.,11:50 p.m.,11:50 p.m.
1309,MYRATEPLAN,UA-37-EDI-EWR,9:05 A.M.,8:52 A.M.,11:53 a.m.,12:09 p.m.
707,PANYNJ,UA-1500-IAH-GUA,8:55 A.M.,9:16 A.M.,11:45 a.m.,11:56 a.m.
1727,WUNDERGROUND,AA-59-JFK-SFO,7:10 A.M.,7:39 A.M.,10:45 a.m.,11:12 a.m.
1135,FOXBUSINESS,AA-1165-JFK-MIA,6:59 A.M.,7:22 A.M.,10:34 a.m.,10:04 a.m.
1391,ORBITZ,CO-1250-MIA-IAH,2:53 P.M.,3:01 P.M.,4:48 p.m.,4:59 p.m.
