,index,ProviderNumber,HospitalName,Address1,City,State,ZipCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService
0,842,10043,chilton medical center,1010 lay dam road,clanton,al,35045,Chilton,2057552500,ACUTE CARE HOSPITALS,voluntary non-profit - private,yes
1,957,10049,medical center enterprise,400 n edwards street,enterprise,al,36330,coffee,3343470584,ACUTE CARE HOSPITALS,proprietary,yes
2,545,10024,jackson hospital & clinic inc,1725 pine street,montgomery,al,36106,montgomery,3342938000,ACUTE CARE HOSPITALS,voluntary non-profit - private,yes
3,174,10010,marshall medical center north,8000 alabama highway 69,guntersville,al,35976,MARSHALL,2565718000,ACUTE CARE HOSPITALS,government - hospital district or authority,yes
4,760,10036,andalusia regional hospital,849 south three notch street,andalusia,al,36420,Covington,3342228466,ACUTE CARE HOSPITALS,proprietary,no
5,956,10049,medical center enterprise,400 n edwards street,enterprise,al,36330,COFFEE,3343470584,ACUTE CARE HOSPITALS,proprietary,yes
6,122,10008,crenshaw community hospital,101 hospital circle,luverne,al,36049,ARENSHAW,3343353374,ACUTE CARE HOSPITALS,government - federal,yes
7,231,10012,dekalb regional medical center,200 med center drive,fort payne,al,35968,DE KALB,2568453150,ACUTE CARE HOSPITALS,voluntary non-profit - church,yes
8,12,10019,helen keller memorial hospital,1300 south montgomery avenue,sheffield,al,35660,JEFFERSON,2563864556,ACUTE CARE HOSPITALS,government - hospital district or authority,yes
9,121,10008,crenshaw community hospital,101 hospital circle,luverne,al,36049,Crenshaw,3343353374,ACUTE CARE HOSPITALS,government - federal,yes
10,660,10032,wedowee hospital,209 north main street,wedowee,al,36278,randolph,2563572111,ACUTE CARE HOSPITALS,government - local,no
11,420,10164,coosa valley medical center,315 w hickory st,sylacauga,al,35150,TALLADEGA,2562495000,ACUTE CARE HOSPITALS,voluntary non-profit - other,no
12,192,10010,marshall medical center north,8000 alabama highway 69,guntersville,al,35976,marshall,2565718000,ACUTE CARE HOSPITALS,government - hospital district or authority,yes
13,945,10047,georgiana hospital,515 miranda st,georgiana,al,36033,butler,3343762205,ACUTE CARE HOSPITALS,voluntary non-profit - private,no
14,393,10108,prattville baptist hospital,124 s memorial dr,prattville,al,36067,Autauga,3343614267,ACUTE CARE HOSPITALS,voluntary non-profit - private,yes
15,418,10164,coosa valley medical center,315 w hickory st,sylacauga,al,35150,TALLADEGA,2562495000,ACUTE CARE HOSPITALS,voluntary non-profit - other,no
16,846,10043,chilton medical center,1010 lay dam road,clanton,al,35045,CHILTOX,2057552500,ACUTE CARE HOSPITALS,voluntary non-profit - private,yes
17,815,10040,gadsden regional medical center,1007 goodyear avenue,gadsden,al,35903,ETOWAH,2564944000,ACUTE CARE HOSPITALS,proprietary,yes
18,773,10038,stringfellow memorial hospital,301 east 18th st,anniston,al,36201,Calhoun,2562358900,ACUTE CARE HOSPITALS,proprietary,yes
19,375,10086,northwest medical center,1530 u s highway 43,winfield,al,35594,marion,2054877736,ACUTE CARE HOSVITALS,proprietary,yes
