id,name,menus_appeared,times_appeared,first_appeared,last_appeared,lowest_price,highest_price
142807,ESCALOPINE OF VEAL AU MARSALA,2,2,1955,1961,0.0,0.0
282334,"BEEF PEPPER STEAK SERVED WITH VEGETABLE, SALAD, ROLL, AND CHOICE OF POTATO OR RICE",1,1,1988,1988,3.75,3.75
53274,EISCHAUM-NOCKEN,2,2,1901,1901,0.0,0.0
223420,CORNED BEEFON RUSSIAN RYE BREAD,1,1,1965,1965,1.5,1.5
361694,"STEAMED CLAMS, DRAWN BUTTER, PICKLED CABBAGE, SALTINES, CLAM BROTH",1,1,1941,1941,0.0,0.0
83430,FINNAN HADDIE OR STRIPED BASS,1,1,1905,1905,0.5,0.5
316424,SLICED CALAVO AVOCADO CRAB OR SHRIMP SALAD,1,1,1948,1948,1.75,1.75
243827,"BROILED SWORDFISH STEAK FLORIDA, FRENCH FRIED POTATOES",1,1,1985,1985,2.75,2.75
387942,"ROAST HOT HOUSE BABY LAMB, MINT SAUCE",1,1,1918,1918,,
293494,"BOILED FRESH BRISKET OF BEEF, HORSERADISH SAUCE, BOUILLON POTATOES",2,2,1953,1953,0.0,0.0
197869,"SALAD, BRAZILIENNE",1,1,1907,1907,0.5,0.5
112781,RINDERZUNGE ROASTBEEF,1,1,1899,1899,0.0,0.0
377462,"SARDINE, WHOLE",1,1,1919,1919,0.4,0.4
351394,"COFFEE ICE CREAM, CARAMEL SAUCE",4,4,1933,1933,0.0,0.0
147942,BAKED-STUFFED MT TROUT FROM THE COLD GLACIER WATERS OF COLORADO,1,1,1969,1969,3.75,3.75
306282,BEAN SPROUT FOO YOUNG DAN,1,1,1944,1944,0.5,0.5
311431,"FRESH SELECT FISH, DU JOUR",4,4,1943,1946,0.0,0.0
235066,BORSCHT KOOP,1,1,1969,1969,1.3,1.3
68720,APPLE OR PEACH PIE,9,9,1900,1917,0.05,0.15
452984,CHARLOTTE KLONDYKE,1,2,0,0,0.0,0.0
497982,SAINT-MARCEAUX VERY DRY,1,1,1913,1913,0.0,0.0
507407,"REUBEN'S SPECIAL TURKEY, ROAST VIRGINIA HAM, SWISS CHEESE, COLE SLAW, RUSSIAN DRESSING",0,0,0,0,0.0,0.0
56547,"CIGARS, MANUEL GARCIA, INVENCIBLE",2,2,1901,1901,0.3,6.5
501864,"CANARD MALLARD, ROTI,",1,1,1916,1916,,
500686,"LOBSTER, FULL ORDER",1,1,1913,1913,0.7,0.7
474767,CANNETON GRILLE,1,1,1912,1912,1.5,3.0
236950,ASSORTED FRENCH CHEESE,3,3,1958,1958,,
307203,"ROLET ROAST ""A LA CRIOLLA""",1,1,1944,1944,0.7,0.7
254227,"ORANGE YOU GLAD? YOU WILL BE WHEN YOU TASTE THIS SPECIAL BLEND OF MANDARIN ORANGE SHERBET, ORANGE JUICE AND GINGER",1,1,1987,1987,1.75,1.75
236264,LE GATEAU MAISON (RUM CAKE),1,1,0,0,0.85,0.85
480179,1954ER OCKFENER BECKSTEIN,1,1,0,0,0.0,0.0
311980,BEEF TAMALE,3,3,1937,1948,0.3,0.5
471273,EGGS AND RAREBITS,1,1,1957,1957,,
217494,"SADDLE OF BABY LAMB SARDALAISE, JELLY OR MINT SAUCE",1,1,1973,1973,0.0,0.0
392843,"OYSTERS HALF SHELL, CAPE CODS",2,2,1917,1918,0.3,0.3
348598,"SAVENNIERES, CHATEAU DE CHAMBOUREAU",1,1,1938,1938,0.0,0.0
29876,"CANVAS BACK DUCK, WITH FRIED HOMINY",1,1,1900,1900,0.0,0.0
168751,"HEARTS OF LETTUCE, FRENCH DRESSING",20,21,1913,1964,0.3,0.6
115684,FILET OF SOLE FRIED OR VIN BLANC,1,1,1905,1905,0.6,0.6
133584,SELECTED DELICACIES FROM VARIOUS COUNTRIES,1,1,1969,1969,0.0,0.0
339716,YORKSHIRE HAM STEAK,1,1,1937,1937,0.0,0.0
10679,"BAKED FRESH MACKEREL, CREOLE",3,3,1900,1901,0.25,0.6
151584,BOURBON WHISKY FOUR ROSES 4 CL,1,1,1966,1966,0.0,0.0
110817,LADY CAKES,2,2,1907,1921,0.0,0.0
310385,"SLOE GIN FIZZ, IMP",1,1,1947,1947,0.75,0.75
466861,BAKED OYSTERS IN SHELL,1,1,1917,1917,0.5,0.5
99613,GENUINE GRUYERE CREAM CHEESE,2,2,1900,1900,0.35,0.35
344502,MACEDOINE DE FRUITS AU MARASQUIN,1,1,1935,1935,0.0,0.0
486047,"COUNTRY SAUSAGES, FRIED EGG AND BROILED BACON",1,1,1913,1913,0.3,0.3
311611,COFFEE SUNDAE,3,3,1939,1948,0.25,0.3
