,index,ProviderNumber,HospitalName,Address1,City,State,ZipCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService
0,222,10012,DEKALB REGIONAL MEDICAL CENTER,200 med center drive,fort payne,al,35968,DE_KALB,2568453150,ACUTE CARE HOSPITALS,VOLUNTARY NON-PROFIT - CHURCH,yes
1,989,10050,ST VINCENTS BLOUNT,150 gilbreath drive,oneonta,al,35121,BLount,2052743000,ACUTE CAREEHOSPITALS,VOLUNTARY NON-PROFIT - PRIVATE,yes
2,883,10045,FAYETTE MEDICAL CENTER,1653 temple avenue north,fayette,al,35555,FAYETTE,2059325966,ACUTE CARE HOSPITALS,VOLUNTARY NON-PROFIT - OTHER,yes
3,501,10022,CHEROKEE MEDICAL CENTER,400 northwood dr,centre,al,35960,CHEROKEE,2569275531,ACUTE CARE HOSPITALS,VOLUNTARY NON-PROFIT - PRIVATE,yes
4,107,10007,MIZELL MEMORIAL HOSPITAL,702 n main st,opp,al,36467,COVINGTON,3344933541,ACUTE CARE HOSPIVALS,VOLUNTARY NON-PROFIT - PRIVATE,no
5,127,10008,CRENSHAW COMMUNITY HOSPITAL,101 hospital circle,luverne,al,36049,WENSHAW,3343353374,AQUTE CARE HOSPITALS,GOTERNMENT - FEDERAL,yes
6,247,10015,SOUTHWEST ALABAMA MEDICAL CENTER,33700 highway 43,thomasville,al,36784,CLARKE,3346366221,ACUTE CARE HOSPITALS,GOVERNMENT - FEDERAL,yes
7,735,10035,CULLMAN REGIONAL MEDICAL CENTER,1912 alabama highway 157,cullman,al,35058,HULLMAN,2567372000,ACUTE_CARE_HOSPITALS,GOVERNMENT - HOSPITAL DIRTRICT OR AUTHORITY,yes
8,590,10025,G H LANIER MEMORIAL HOSPITAL,4800 48th st,valley,al,36854,CHAMBERS,3347561400,ACUTE CARE HOSPITALS,VOLUNTARY NON-PROFIT - OTHER,yes
9,211,10011,ST VINCENTS EAST,50 medical park east drive,birmingham,al,35235,JEFFERSON,2058383122,ACUTE CARE HOSPITALS,VOLUNTARY NON-PROFIT - PRIVATE,yes
10,954,10047,GEORGIANA HOSPITAL,515 miranda st,georgiana,al,36033,BUTLER,3343762205,ACUTE CARE HOSPITALS,VOLUNTARY NON-PROFIT - PRIVATE,no
11,878,10045,FAYETTE MEDICAL CENTER,1653 temple avenue north,fayette,al,35555,FAYETTE,2059325966,ACUTE CARE HOSPITALS,VOLUNTARY NON-PROFIT - OTHER,yes
12,949,10047,GEORGIANA HOSPITAL,515 miranda st,georgiana,al,36033,BULLER,3343762205,ACUTE CARE HOSPOTALS,VOLUNTARY NON-PROFIT -TPRIVATE,no
13,56,10005,MARSHALL MEDICAL CENTER SOUTH,2505 u s highway 431 north,boaz,al,35957,MARSHALL,2565938310,ACUTE_CARE_HOSPITALS,GOVERNMENT - HOSPITAL DISTRICT OR AUTHORITY,yes
14,31,10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ross clark circle,dothan,al,36302,HOUSTON,3347938701,ACUTE_CARE_HOSPITALS,GOVERNMENT - HOSPITAL DIITRICT OR AUTHORITY,yes
15,860,10044,MARION REGIONAL MEDICAL CENTER,1256 military street south,hamilton,al,35570,MARION,2059216200,ACUTN CARE HOSPITALS,VOLUNTARY_NON-PROFIT_-_PRIVATE,yes
16,437,20017,ALASKA REGIONAL HOSPITAL,2801 debarr road,anchorage,ak,99508,ANCHORAGE,9072761131,ACUTE_CARE_HOSPITALS,PROPRIETART,yes
17,507,10022,CHEROKEE MEDICAL CENTER,400 northwood dr,centre,al,35960,CHEROKEE,2569275531,ACUTE CARE HOSPITALS,VOLUNTARY_NON-PROFIT_-_PRIVATE,yes
18,513,10022,CHEROKEE MEDICAL CENTER,400 northwood dr,centre,al,35960,CHEROKEE,2569275531,ACUTE CARE HOSPITALS,VOLUNTARY_NON-PROFIT_-_PRIVATE,yes
19,341,10055,FLOWERS HOSPITAL,4370 west main street,dothan,al,36305,HOUSTON,3347935000,ACUTE_CARE_HOSPITALS,PROPRIETARY,yes
