,LoanAmount,City,State,Zip,NAICSCode,BusinessType,RaceEthnicity,Gender,Veteran,JobsReported,DateApproved,Lender,CD
0,102000,HONOLULU,HI,96813,531312.0,CORPORATION,white,MALE,UNANSWERED,0.0,04/29/2020,CENTRAL PACIFIC BANK,HI-01
1,18525,HONOLULU,HI,96826,711510.0,LIMITED  LIABILITY COMPANY(LLC),hispanic/latino,MALE,UNANSWERED,0.0,05/20/2020,CENTRAL PACIFIC BANK,HI-01
2,20900,HONOLULU,HI,96814,999990.0,INDEPENDENT CONTRACTORS,black or african american,FEMALE,UNANSWERED,1.0,04/28/2020,CENTRAL PACIFIC BANK,HI-01
3,3241.92,WAHIAWA,HI,96786,722513.0,LIMITED  LIABILITY COMPANY(LLC),asian,FEMALE,UNANSWERED,1.0,05/07/2020,HAWAIIUSA FCU,HI-02
4,17200,HONOLULU,HI,96825,621999.0,SELF-EMPLOYED INDIVIDUALS,black or african american,MALE,UNANSWERED,26.0,04/14/2020,CENTRAL PACIFIC BANK,HI-01
5,6700,KANEOHE,HI,96744,722511.0,SOLE PROPRIETORSHIP,black or african american,MALE,UNANSWERED,3.0,04/10/2020,"AMERICAN SAVINGS BANK, FSB(FIRST STATE BANK)",HI-02
6,2281,LAHAINA,HI,96761,624410.0,SELF-EMPLOYED INDIVIDUALS,othr,NON-BINARY,UNANSWERED,1.0,08/05/2020,"KABBAGE, INC.",HI-02
7,109100,KAUNAKAKAI,HI,96748,444190.0,CORPORATION,white,MALE OWNED,NON-VETERAN,12.0,04/13/2020,"AMERICAN SAVINGS BANK, FSB",HI-02
8,39200,KAILUA,HI,96734,541214.0,LIMITED  LIABILITY COMPANY(LLC),asian,MALE OWNED,NON-VETERAN,3.0,04/29/2020,HAWAII NATIONAL BANK.,HI-02
9,13700,HILO,HI,96720,541110.0,SOLE PROPRIETORSHIP,white,FEMALE,UNANSWERED,0.0,2020-04-30,CENTRAL PACIFIC BANK,HI-02
10,28800,PAAUILO,HI,96776,112111.0,LIMITED  LIABILITY COMPANY(LLC),black or african american,FEMALE,UNANSWERED,0.0,05/01/2020,CENTRAL PACIFIC BANK,HI-02
11,10000,WAIPAHU,HI,96797,323111.0,LIMITED  LIABILITY COMPANY(LLC),asian,MALE OWNED,NON-VETERAN,3.0,04/10/2020,CENTRAL PACIFIC BANK,HI-01
12,1400,WAILUKU,HI,96793,711310.0,SOLE PROPRIETORSHIP,white,MALE OWNED,NON-VETERAN,1.0,05/08/2020,HAWAII NATIONAL BANK.,HI-02
13,9500,PEARL CITY,HI,96782,446120.0,CORPORATION,asian,NON-BINARY,UNANSWERED,0.0,06/03/2020,CENTRAL PACIFIC BANK,HI-01
14,2500,HONOLULU,HI,96816,812199.0,LIMITED  LIABILITY COMPANY(LLC),black or african american,FEMALE,UNANSWERED,1.0,04/12/2020,HAWAIIUSA FCU,HI-01
15,23501,HILO,HI,96721,236115.0,LIMITED  LIABILITY COMPANY(LLC),asian,MALE,UNANSWERED,10.0,2020-04-30,FIRST HAWAIIAN BANK,HI-02
16,8600,HONOLULU,HI,96819,722513.0,CORPORATION,asian,MALE OWNED,NON-VETERAN,2.0,04/27/2020,HAWAII NATIONAL BANK.,HI-01
17,7377.5,HONOKAA,HI,96727,453220.0,CORPORATION,black or african american,NON-BINARY,UNANSWERED,2.0,2020-04-30,HAWAII COMMUNITY FCU,HI-02
18,57600,HONOLULU,HI,96817,444130.0,CORPORATION,asian,MALE OWNED,NON-VETERAN,5.0,04/29/2020,HAWAII NATIONAL BANK.,HI-01
19,4535,HAWI,HI,96719,722513.0,LIMITED  LIABILITY COMPANY(LLC),black or african american,NON-BINARY,UNANSWERED,3.0,05/10/2020,HAWAII COMMUNITY FCU,HI-02
