id,name,menus_appeared,times_appeared,first_appeared,last_appeared,lowest_price,highest_price,Column 9
80606,ŒUFS CARLTON,1.0,1,1892-01-01T00:00:00Z,1892,2.5,24.0,
132793,KRUMBLES,15.0,22,1931-01-01T00:00:00Z,1962,0.0,2.25,
128307,"CHINESE MUSHROOMS AND PORK CHOW MEIN (PAN FRIED NOODLES, SOFT OR CRISP)",1.0,1,1900-01-01T00:00:00Z,1900,0.5,0.5,
21522,MEXICAN TAMALES,2.0,2,1901-01-01T00:00:00Z,1901,0.25,0.25,
497953,"CHINESE MUSHROOMS AND PORK CHOW MEIN (PAN FRIED NOODLES, SOFT OR CRISP)",0.0,0,,0,0.0,0.0,
476757,MIGNARDISES,1.0,1,1943-01-01T00:00:00Z,1943,1.5,1.5,
380772,"CRAB GUMBO, CREOLE",3.0,3,1914-01-01T00:00:00Z,1916,0.15,0.3,
61532,MONDAINE,1.0,1,1901-01-01T00:00:00Z,1901,0.0,0.0,
336242,KRUMBLES,3.0,3,1921-01-01T00:00:00Z,1937,0.0,0.0,
290401,TRENETTE WITH TOMATO SAUCE,1.0,1,1963-01-01T00:00:00Z,1963,0.0,0.0,
488107,SPARKLING BURGUNDY,3.0,3,1913-01-01T00:00:00Z,1918,1.65,3.5,
239709,COLD PICKLED PORK,1.0,1,1958-01-01T00:00:00Z,1958,0.0,0.0,
65644,CREAM FRESH TOMATOES SOUP? WITH TAPIOCA,98.0,103,1905-01-01T00:00:00Z,1990,0.5,0.5,
494938,ŒUFS CARLTON,1.0,1,1961-01-01T00:00:00Z,1961,,,
150496,VEAL FILLETS WITH FRESH GRAPES IN MUSHROOM AND CREAM SAUCE (VITELLO 'WHITE ELEPHANT'),1.0,1,1972-01-01T00:00:00Z,1972,0.0,0.0,
480179,1954ER PCKFENER BECKSTEIN,1.0,1,,0,0.0,0.0,
56190,? AND COLD DISHES,1.0,1,1901-01-01T00:00:00Z,1901,,,
435886,OYSTER OMELETTE WITH CREAMED POTATOES,1.0,1,1914-01-01T00:00:00Z,1914,0.5,0.5,
342208,"BROILED LOBSTER DAINTIES, DENMARK, DRAWN BUTTER, BROCCOLI, FRENCH FRIED POTATOES",1.0,1,1962-01-01T00:00:00Z,1962,0.0,0.0,
466530,SCOTCH HIGHBALLS,1.0,1,1912-01-01T00:00:00Z,1912,0.15,0.15,
272290,"1964ER CHATEAU LA TOUR GAYET, COTES DE BLAYE AC",1.0,1,1961-01-01T00:00:00Z,1961,1.6,2.0,
128329,"BROILED LOBSTER DAINTIES, DENMARK, DRAWN BUTTER, BROCCOLI, FRENCH FRIED POTATOES",1.0,1,1900-01-01T00:00:00Z,1900,0.35,0.35,
306163,"LE COQ DE CHOIX A LA CREME ET AU FOIE GRAS, FLAMBE AU COGNAC",1.0,1,1944-01-01T00:00:00Z,1944,4.0,4.0,
428874,"SWEETBREAD, TZARINE",6.0,6,1912-01-01T00:00:00Z,1915,0.75,0.75,
340916,GNOCCHI DI PATATE ALLA VENETA,1.0,1,1980-01-01T00:00:00Z,1980,0.0,0.0,
170818,"1964ER CHATEAU LA TOUR GAYET, COTES DE BLAYE AC",1.0,1,,0,0.0,0.0,
235817,MONKS BEARD SALAD,2.0,2,1966-01-01T00:00:00Z,1966,0.0,0.0,
103083,JULIENUE,1.0,1,1900-01-01T00:00:00Z,1900,0.1,0.1,
491518,TRENETTE WITH TOMATO SAUCE,1.0,1,1962-01-01T00:00:00Z,1962,0.0,0.0,
460870,BROILED SMALL STEAK WITH POTATOES,1.0,1,,0,0.0,0.0,
451690,TOMATOES OR CUCUMBERS AND LETTUCE,2.0,1,1914-01-01T00:00:00Z,1914,0.5,0.5,
456489,"EGGS, SCRAMBLED WITH TOMATO",2.0,2,,0,0.0,0.0,
104232,"FR OCHSENBRUST ""FLAMISCH"" MIT BOUILLONKARTOFFELN UND SAHNEMEERRETTICH",1.0,1,1891-01-01T00:00:00Z,1891,0.0,0.0,
215582,COLD PICKLED PORK,1.0,1,1901-01-01T00:00:00Z,1901,0.0,0.0,
93339,"MANUEL GARCIA, PURITANOS",4.0,4,1900-01-01T00:00:00Z,1920,0.15,8.75,
452805,"FROGS' LEGS, AMERICAN STYLE",2.0,2,,0,0.0,0.0,
93212,"TRIPE IN CREAM WITH ONIONS, SHANLEY",1.0,1,1900-01-01T00:00:00Z,1900,0.5,0.5,
509112,BORDEAUX ROUGE SAUTERNES CLOS MERCIER 1966,1.0,1,1971-01-01T00:00:00Z,1971,0.0,0.0,
341848,SLICE ROAST,1.0,1,1935-01-01T00:00:00Z,1935,0.0,0.0,
486064,MEXICAN TAMALES,1.0,1,1913-01-01T00:00:00Z,1913,0.15,0.15,
310385,"SLOE GIN FIZZ, IMP",1.0,1,1947-01-01T00:00:00Z,1947,0.75,0.75,
311611,COFFEE SUNDAE,3.0,3,1939-01-01T00:00:00Z,1948,0.25,0.3,
248003,SCHWESERPASTETEN,1.0,1,1957-01-01T00:00:00Z,1957,2.75,2.75,
190157,"CHINESE MUSHROOMS AND PORK CHOW MEIN (PAN FRIED NOODLES, SOFT OR CRISP)",1.0,1,,0,0.7,1.3,
383374,MONKS BEARD SALAD,1.0,1,1916-01-01T00:00:00Z,1916,0.4,0.4,
455520,"VEAL CUTLET BREADED, TOMATO",,1,1,0,0.0,0.0,0.0
368779,"SOUP, PUREE JACKSON WITH LEEKS AND CELERY",1.0,1,1927-01-01T00:00:00Z,1927,0.0,0.0,
413843,VEAL FILLETS WITH FRESH GRAPES IN MUSHROOM AND CREAM SAUCE (VITELLO 'WHITE ELEPHANT'),1.0,1,1973-01-01T00:00:00Z,1973,0.0,0.0,
96287,"CHINESE MUSHROOMS AND PORK CHOW MEIN (PAN FRIED NOODLES, SOFT OR CRISP)",,1,1,1900,1900.0,0.1,0.1
476680,GREEN GODDESS,2.0,2,,0,,,
