tuple_id,src,flight,sched_dep_time,act_dep_time,sched_arr_time,act_arr_time
899,flights,AA-3979-CVG-ORD,__7:30_a.m.__,  8:04 a.m.  ,8:00 a.m.,8:06 a.m.
183,boston,UA-854-SFO-IAH,  7:53 a.m.  ,7:49_a.m.,1:39 p.m.,1:30 p.m.
566,flightstats,AA-2957-DFW-CVG,7:55_a.m.,  8:04 a.m.  ,11:05 a.m.,11:01 a.m.
458,flightview,AA-1886-BOS-MIA,10:45 a.m.,10:55_a.m.,2:20 p.m.,1:40 p.m.
2019,allegiantair,CO-1250-MIA-IAH,2:53_p.m.,3:01_p.m.,4:48 p.m.,4:59 p.m.
569,flightstats,AA-1279-DFW-PHX,  1:00 p.m.  ,2:04 p.m.,2:35 p.m.,3:30 p.m.
1340,orbitz,AA-616-DFW-DTW,__9:05_a.m.__,10:10_a.m.,12:35 p.m.,1:27 p.m.
779,flightexplorer,UA-828-SFO-ORD,11:08 p.m.,__11:08_p.m.__,5:11 a.m.,5:11 a.m.
563,flightstats,UA-3050-PHX-CLT,11:05 a.m.,11:30 a.m.,4:57 p.m.,5:05 p.m.
717,panynj,AA-3979-CVG-ORD,7:30 a.m.,__8:04_a.m.__,8:00 a.m.,8:06 a.m.
954,flightarrival,CO-1561-PHX-IAH,__8:05_a.m.__,  8:00 a.m.  ,11:35 a.m.,11:32 a.m.
502,flightview,AA-1165-JFK-MIA,6:59_a.m.,7:22_a.m.,10:34 a.m.,10:04 a.m.
689,panynj,UA-37-EWR-MCO,1:29 p.m.,1:48 p.m.,4:17 p.m.,4:17 p.m.
830,flights,AA-3468-CVG-MIA,  7:00 a.m.  ,7:25 a.m.,9:55 a.m.,9:45 a.m.
58,helloflight,CO-58-DEN-IAH,11:25 a.m.,  11:32 a.m.  ,2:50 p.m.,3:31 p.m.
2117,businesstravellogue,UA-3373-IAD-PHL,8:29 a.m.,  8:26 a.m.  ,9:24 a.m.,9:13 a.m.
1771,flylouisville,CO-1614-LAX-IAH,12:30 a.m.,12:41_a.m.,5:35 a.m.,5:26 a.m.
2262,flightaware,UA-2726-FLL-PHL,  4:00 p.m.  ,__4:00_p.m.__,6:46 p.m.,6:28 p.m.
