,Inspection ID,DBA Name,AKA Name,License #,Facility Type,Risk,Address,City State Zip,Inspection Date,Inspection Type,Results
0,1734950,Carson (Old),Carson (Old),22601,School,Low Risk,5516 S Maplewood (2532W) AVE,"chicago,IL,60629",03/29/2016,Canvass,Low Risk
1,1138328,Manierre,Manierre,24311,School,Low Risk,1420 N Hudson (432W),"CHESTNUT STREET,IL,60610",06/08/2012,Canvass,Low Risk
2,1931384,KENDALL COLLEGE,KENDALL COLLEGE/CULINARY SCHOOL KITCHEN CLASSROOMS,2013962,COLLEGE,Low Risk,900 N NORTH BRANCH ST,"Chicago,IL,60642",05/23/2016,Canvass Re-inspection,Low Risk
3,419250,OSCO DRUG #3632,OSCO DRUG #3632,2037183,Liquor,High Risk,3630 N SOUTHPORT AVE,",IL,",10/06/2010,License,High Risk
4,63277,SUN FOOD MART,SUN FOOD MART,2009479,Grocery Store,High Risk,3601 W CERMAK RD,",IL,",02/24/2010,Short Form Complaint,Low Risk
5,577789,Carson (New),Carson (New),70217,School,Low Risk,2550 W 56th (5600S) ST,"chicago,IL,60629",02/02/2012,Canvass,Failed
6,2009847,ROANOKE,RESIDENCE INN,2398426,Restaurant,Low Risk,11 S LA SALLE ST,"Chicago,IL,60603",04/05/2017,Canvass,Low Risk
7,1978218,KENDALL COLLEGE,KENDALL COLLEGE/CULINARY SCHOOL KITCHEN CLASSROOMS,2013962,COLLEGE,Low Risk,900 N NORTH BRANCH ST,"Chicago,IL,60642",12/15/2016,Canvass,Low Risk
8,2059479,Carson (New),Carson (New),70217,School,Low Risk,2550 W 56th (5600S) ST,"chicago,IL,60629",06/02/2017,Canvass Re-inspection,Low Risk
9,1981871,EBERHART ELEMENTARY SCHOOL,EBERHART ELEMENTARY SCHOOL,23041,School,Low Risk,3400 W 65th PL,"chicago,IL,60629",01/23/2017,Canvass,Low Risk
