LoanAmount,City,State,Zip,NAICSCode,BusinessType,RaceEthnicity,Gender,Veteran,JobsReported,DateApproved,Lender,CD
29375,KULA,HI,96790,561790.0,Corporation,Unanswered,Unanswered,Unanswered,5.0,04/27/2020,Bank of Hawaii,HI-02
3325,HAIKU,HI,96708,713940.0,Independent Contractors,Unanswered,Unanswered,Unanswered,1.0,05/21/2020,Bank of Hawaii,HI-02
24455,KIHEI,HI,96753,531320.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,1.0,04/06/2020,Bank of Hawaii,HI-02
17232,WAILUKU,HI,96793,236118.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,4.0,04/27/2020,Bank of Hawaii,HI-02
3300,HONOLULU,HI,96813,561720.0,Limited  Liability Company(LLC),Unknown,,Unanswered,1.0,05/14/2020,"American Savings Bank, FSB(First State Bank)",HI-01
45600,HONOLULU,HI,96817,327213.0,Corporation,Unknown,,Unanswered,5.0,2020-04-30,"American Savings Bank, FSB(First State Bank)",HI-01
11908,HONOLULU,HI,96814,531390.0,Limited  Liability Company(LLC),Unanswered,Male Owned;,Non-Veteran,1.0,04/28/2020,Central Pacific Bank,HI-01
19925,MILILANI,HI,96789,236115.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,6.0,04/27/2020,Bank of Hawaii,HI-01
7250,Hilo,HI,96720,531210.0,Limited  Liability Company(LLC),Unanswered,Female Owned,Non-Veteran,0.0,05/01/2020,Central Pacific Bank,HI-02
138200,HONOLULU,HI,96816,541330.0,Corporation,Unknown,,Unanswered,12.0,04/07/2020,FIRST HAWAIIAN BANK,HI-01
51262.5,Honolulu,HI,96819,541519.0,Corporation,Unanswered,Unanswered,Unanswered,4.0,04/27/2020,FIRST HAWAIIAN BANK,HI-01
39800,Kalaheo,HI,96741,811111.0,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,4.0,2020-04-30,FIRST HAWAIIAN BANK,HI-02
29200,KAILUA KONA,HI,96740,531120.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,2.0,04/13/2020,Bank of Hawaii,HI-02
6700,Kahului,HI,96732,561720.0,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,1.0,05/03/2020,"American Savings Bank, FSB",HI-02
60000,HONOLULU,HI,96817,621111.0,Sole Proprietorship,Unanswered,Male Owned;,Non-Veteran,7.0,04/15/2020,Central Pacific Bank,HI-01
20832,HONOLULU,HI,96813,524210.0,Sole Proprietorship,Unknown,,Unanswered,,06/18/2020,Bank of Hawaii,HI-01
3925,Kailua Kona,HI,96740,541921.0,Sole Proprietorship,Unanswered,Unanswered,Unanswered,1.0,05/04/2020,FIRST HAWAIIAN BANK,HI-02
140400,WAIMANALO,HI,96795,236115.0,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,13.0,04/13/2020,"American Savings Bank, FSB(First State Bank)",HI-02
4750,Honolulu,HI,96814,812990.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,0.0,05/12/2020,Central Pacific Bank,HI-01
20800,HONOLULU,HI,96825,541990.0,Limited  Liability Company(LLC),Unanswered,Male Owned;,Unanswered,1.0,04/04/2020,BankVista,HI-01
