id,name,menus_appeared,times_appeared,first_appeared,last_appeared,lowest_price,highest_price
116614,Flannel Cakes with Genuine Maple Syrup,1,1,1899,1899,0.0,0.0
213564,(Half) Florida Grapefruit (in season),1,1,1975,1975,0.7,0.7
456495," Lobster Newburg, Maryland ",0,0,0,0,0.0,0.0
453202,__creme du nord,1,1,0,0,0.0,0.0
236129,Bean Curd with Chinese Mushrooms,1,1,1977,1977,3.75,3.75
96287,Bowl of Cold Rice and Milk,1,1,1900,1900,0.1,0.1
49103,Boiled Smoked (ox-tongue),1,1,1900,1900,0.0,0.0
256276,Tomme de Savoie Cheese ,2,2,1959,1963,0.0,0.0
401855,"Loin lamb chop, Brussels sprouts (15 min.)",1,1,1917,1917,0.45,0.45
475835,Sliced London Broil au jus  ,1,1,1998,1998,11.99,11.99
409469,Bacon with eggs,1,1,1939,1939,,
336242,   Krumbles,3,3,1921,1937,0.0,0.0
273957,    Artichauts a la Russe,1,1,1961,1961,0.0,0.0
465817,"Fried filet of English sole, sauce Verte, Julienne potatoes",1,1,1917,1917,0.35,0.35
442800,"Tomato, Stuffed a la Meyer (1) ",1,1,1914,1914,0.35,0.35
111775,Lexington Appetizer,1,1,1907,1907,0.0,0.0
83230,Vermouth Noilly Prat ou Turin,1,1,1900,1900,0.0,0.0
276746,"    Schweinskotelette vom Grill, Pommes frites und Tomatensalat",1,1,1959,1959,0.0,0.0
1210,"   Lettuce, French dressing",71,71,1890,1928,0.1,0.35
248003,"Broiled Lamp Chops, Two",1,1,1957,1957,2.75,2.75
10679,"Baked Fresh Mackerel, [Creole] ",3,3,1900,1901,0.25,0.6
480179,1954er Ockfener Beckstein,1,1,0,0,0.0,0.0
451690,Mondaine,2,1,1914,1914,0.5,0.5
147942,[Baked-STuffed] Mt. Trout; From the Cold Glacier Waters of Colorado,1,1,1969,1969,3.75,3.75
349921,Canada mutton chop,33,33,1933,1933,0.65,1.7
56547,"[Cigars, Manuel Garcia, Invencible]",2,2,1901,1901,0.3,6.5
399522,"Strawberry, peach or raspberry jam",1,1,1917,1917,0.2,0.2
433070,"Banana Fritters, Brandy Sauce",3,3,1914,1914,0.1,0.1
51543,"Ice Cream   and Ices, Coffee  ",1,1,1900,1900,0.2,0.2
145777,   Ice cream - Pappagallo's speciality,1,1,0,0,0.0,0.0
176321,"Vermouth, franz",1,1,0,0,0.0,0.0
386181,White Rock mineral water,20,20,1912,1918,0.15,0.5
219673,"california fresh FRUit SALAD, with Cottage Cheese, Sour Cream     ",1,1,1979,1979,6.5,6.5
280767,"Fish cakes, with one fried egg, and coffee, tea or cocoa",1,1,1900,1900,0.25,0.25
456728,Toasted Rolls with with a small pitcher of cream and with Butter,1,1,0,0,0.0,0.0
443452,perrier,3,3,1914,1933,0.15,0.6
348598,"SAVENNIERES, Chateau de Chamboureau",1,1,1938,1938,0.0,0.0
117529,"   Roast fancy capon, celery dressing, compote",1,1,1907,1907,0.0,0.0
223882,Munchner     Sauerkrautplatte reich garniert ,1,1,1978,1978,0.0,0.0
284948,"1952 Zeltinger Himmelreich, Spatlese,   naturrein, Wachstum Bernhard Scheer, Originalkellerabzug, Korkbrand;  ",1,1,1954,1954,0.0,0.0
286273,Oyster Mornay (6),2,2,1963,1963,0.0,0.0
190157,"Chinese Mushrooms and Pork Chow Mein (Pan Fried Noodles, Soft or Crisp)",1,1,0,0,0.7,1.3
161514,Johannisbeersaft,8,8,1955,1988,0.0,0.0
138395,Roast Beef Caliente (sandwich),1,1,0,0,22.0,22.0
351534,Grenadine Cocktail,11,11,1932,1933,0.0,0.0
452933,Squab Casserole,1,1,0,0,0.0,0.0
241639,    Tosta de crevettes Rothschild,1,1,1958,1958,24.0,24.0
342575,"coffee,   per pot or Cup",1,1,1901,1901,0.0,0.0
37410,     Kalbfleisch Fricassee,1,1,1901,1901,0.0,0.0
261894,BEEF BOURGUIGNONNE - Cubes of beef prepared with onions and Burgundy wine,1,1,1977,1977,0.0,0.0
