,LoanAmount,City,State,Zip,NAICSCode,BusinessType,RaceEthnicity,Gender,Veteran,JobsReported,DateApproved,Lender,CD
0,4300,HONOLULU,HI,,541921.0,SOLE PROPRIETORSHIP,UNKNOWN,,UNANSWERED,0.0,2020-04-30,CENTRAL PACIFIC BANK,HI-01
1,5000,AIEA,HI,96701,722511.0,SUBCHAPTER S CORPORATION,UNANSWERED,UNANSWERED,UNANSWERED,1.0,04/10/2020,CENTRAL PACIFIC BANK,HI-01
2,6400,KEAAU,HI,96749.0,236115.0,CORPORATION,UNANSWERED,MALE OWNED,NON-VETERAN,1.0,04/08/2020,CENTRAL PACIFIC BANK,HI-02
3,30000,HONOLULU,HI,96817,451140.0,CORPORATION,UNKNOWN,,UNANSWERED,3.0,04/10/2020,CENTRAL PACIFIC BANK,HI-01
4,4122,KAPOLEI,HI,,523930.0,SUBCHAPTER S CORPORATION,UNANSWERED,UNANSWERED,UNANSWERED,3.0,05/19/2020,FIRST HAWAIIAN BANK,HI-02
5,23615,HAIKU,HI,96708.0,236115.0,LIMITED  LIABILITY COMPANY(LLC),UNANSWERED,UNANSWERED,UNANSWERED,3.0,04/27/2020,BANK OF HAWAII,HI-02
6,11631,HONOLULU,HI,96814,337122.0,LIMITED  LIABILITY COMPANY(LLC),UNANSWERED,UNANSWERED,UNANSWERED,0.0,2020-04-30,CENTRAL PACIFIC BANK,HI-01
7,7500,HONOLULU,HI,96825.0,446130.0,INDEPENDENT CONTRACTORS,UNKNOWN,,UNANSWERED,12.0,04/10/2020,CENTRAL PACIFIC BANK,HI-01
8,32500,WAIALUA,HI,0.96791,314999.0,CORPORATION,UNANSWERED,UNANSWERED,UNANSWERED,,04/12/2020,BANK OF HAWAII,HI-02
9,20000,HONOLULU,HI,96815.0,237990.0,SELF-EMPLOYED INDIVIDUALS,UNKNOWN,,UNANSWERED,1.0,05/08/2020,"AMERICAN SAVINGS BANK, FSB(FIRST STATE BANK)",HI-01
10,20000,HONOLULU,HI,96816.0,812990.0,SUBCHAPTER S CORPORATION,UNANSWERED,UNANSWERED,UNANSWERED,,05/20/2020,CELTIC BANK CORPORATION,HI-01
11,3300,HONOLULU,HI,96813,561720.0,LIMITED  LIABILITY COMPANY(LLC),UNKNOWN,,UNANSWERED,1.0,05/14/2020,"AMERICAN SAVINGS BANK, FSB(FIRST STATE BANK)",HI-01
12,15700,CAPTAIN COOK,HI,96704.0,238350.0,SUBCHAPTER S CORPORATION,UNKNOWN,UNANSWERED,UNANSWERED,3.0,04/11/2020,"AMERICAN SAVINGS BANK, FSB(FIRST STATE BANK)",HI-02
13,15636,KEALAKEKUA,HI,0.9675,112130.0,SUBCHAPTER S CORPORATION,UNANSWERED,UNANSWERED,UNANSWERED,4.0,2020-04-30,FIRST HAWAIIAN BANK,HI-02
14,5150,KAPOLEI,HI,96707.0,812990.0,INDEPENDENT CONTRACTORS,UNANSWERED,UNANSWERED,UNANSWERED,,06/22/2020,CELTIC BANK CORPORATION,HI-02
15,44000,KAPOLEI,HI,96707.0,813410.0,NON-PROFIT ORGANIZATION,UNANSWERED,FEMALE OWNED,UNANSWERED,8.0,04/09/2020,HAWAIIUSA FCU,HI-02
16,73600,KAPOLEI,HI,,722513.0,LIMITED  LIABILITY COMPANY(LLC),UNANSWERED,UNANSWERED,UNANSWERED,24.0,05/01/2020,FIRST HAWAIIAN BANK,HI-02
17,27400,KILAUEA,HI,96754.0,453220.0,SOLE PROPRIETORSHIP,UNANSWERED,UNANSWERED,UNANSWERED,3.0,04/05/2020,CENTRAL PACIFIC BANK,HI-02
18,40000,HONOLULU,HI,96826,722513.0,CORPORATION,ASIAN,MALE OWNED;,NON-VETERAN,9.0,04/11/2020,"AMERICAN SAVINGS BANK, FSB",HI-01
19,96100,HONOLULU,HI,96816,811121.0,CORPORATION,ASIAN,MALE OWNED,NON-VETERAN,10.0,04/15/2020,HAWAII NATIONAL BANK.,HI-01
