,Inspection ID,DBA Name,AKA Name,License #,Facility Type,Risk,Address,City State Zip,Inspection Date,Inspection Type,Results
0,1279241,MCDONALD'S CORPORATION,MCDONALD'S CORPORATION,1243048,restaurant,Risk 2 (Medium),23 N WESTERN AVE,"Chicago,IL,60612",2012-10-12T00:00:00Z,Complaint,FAIL
1,1138328,Manierre,Manierre,24311,school,Risk 1 (High),1420 N Hudson (432W),"CHESTNUT STREET,IL,60610",2012-06-08T00:00:00Z,Canvass,PASS
2,1931384,KENDALL COLLEGE,KENDALL COLLEGE/CULINARY SCHOOL KITCHEN CLASSROOMS,2013962,College,Risk 1 (High),900 N NORTH BRANCH ST,"Chicago,IL,60642",2016-05-23T00:00:00Z,Canvass Re-inspection,PASS
3,1960254,ROANOKE,RESIDENCE INN,2398426,restaurant,Risk 1 (High),11 S LA SALLE ST,"Chicago,IL,60603",2016-09-13T00:00:00Z,Canvass,PASS
4,419250,OSCO DRUG #3632,OSCO DRUG #3632,2037183,liquor,Risk 3 (Low),3630 N SOUTHPORT AVE,",IL,",2010-10-06T00:00:00Z,License,F@IL
5,63277,SUN FOOD MART,SUN FOOD MART,2009479,grocery store,Risk 3 (Low),3601 W CERMAK RD,",IL,",2010-02-24T00:00:00Z,Short Form Complaint,P@SS
6,577789,Carson (New),Carson (New),70217,school,Risk 1 (High),2550 W 56th (5600S) ST,"chicago,IL,60629",2012-02-02T00:00:00Z,Canvass,FIAL
7,2009847,ROANOKE,RESIDENCE INN,2398426,restaurant,Risk 1 (High),11 S LA SALLE ST,"Chicago,IL,60603",2017-04-05T00:00:00Z,Canvass,PASS
8,176288,LA QUEBRADA #5,LA QUEBRADA #5,1953630,restaurant,Risk 1 (High),3816 W 63RD ST,"chicago,IL,60629",2010-02-18T00:00:00Z,Canvass,PAAS
9,1473851,BOHO BOHEMIAN HOUSE,BOHO,2303850,restaurant,Risk 1 (High),11 W ILLINOIS ST,",IL,",2014-06-19T00:00:00Z,License,PASS
