,Inspection ID,DBA Name,AKA Name,License #,Facility Type,Risk,Address,City State Zip,Inspection Date,Inspection Type,Results
0,660132,__sun_fresh_market_&_deli__,SUN FRESH MARKET & DELI,2021825,Grocery Store,Risk 1 (Lwo),3640 N CENTRAL AVE,"CCHICAGO,IL,60634",,Canvass,Unsuccessful
1,1445320,mcdonalds,MCDONALD'S,2397974x,Restaurant,risk_2_(medium),23 N WESTERN AVE,"Chicago,IL,60612",,License,Unsuccessful
2,1459365,franklin magnet,Franklin Fine Arts Magnet School,29081,School,Risk 1 (L0w),225 W Evergreen ST,"Chicago,IL,60610",,Canvass,Unsuccessful
3,1770873,kendall college,KENDALL COLLEGE/CULINARY SCHOOL KITCHEN CLASSROOMS,2013962,COLLEGE,Risk 1 (loww),900 N NORTH BRANCH ST,"Chicago,IL,60642",2016-05-16T00:00:00Z,Canvass,Unsuccessful
4,1076262,PAPA T'S ITALIANO,,1681036,Mobile Food Dispenser,Risk 3 (Low),2843 W 63RD ST,"INACTIVE,IL,60629",2012-04-27T00:00:00Z,Canvass,Inactive
5,1300401,TIPSYCAKE,TIPSYCAKE,2107949,Bakery,Risk 2 (Medium),1944 N DAMEN AVE,"chicago,IL,60647",2012-11-08T00:00:00Z,Canvass Re-inspection,Successful
6,215218,good_earth_market,GOOD EARTH MARKET,2017278,Grocery Store,Risk 2 (Medium),6190 S ARCHER AVE,"CHCICAGO,IL,60638",2010-02-18T00:00:00Z,License,Unsuccessful
7,2071348,market select,MARKET SELECT,2523569,Grocery Store,Risk_3_(Low),912 N ASHLAND AVE,",IL,60622",2017-07-25T00:00:00Z,License,Successful
8,233751,alissa ice cream,ALISSA ICE CREAM,2032109,Mobile Food Dispenser,Risk 3 (Low),12355 S KEDVALE AVE,"ALSIP,IL,60803",2010-05-12T00:00:00Z,License,Unsuccessful
9,1277643,chicago_academy_for_the_arts,Chicago Academy for the Arts,3200708,School,Risk_3_(Low),1010 W Chicago AVE,"Chicago,IL,60642",,Complaint,Unsuccessful
