index,ProviderNumber,HospitalName,Address1,City,State,ZipCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService
3,10018,callahan eye foundation hospital,1720 university blvd,birmcngham,al,35233,jefferson,2053258100,acute care hospitals,voluntary_non-profit_-_private,Ges
880,10045,fayette medical center,1653 temple avenue north,fayette,al,35555,fayette,2059325966,acute care hospitals,VOLUNTARY NON-PROFIT - OTHER,YES
58,10005,marshall medical center south,2505 u s highway 431 north,BOAZ,al,35957,marshall,2565938310,acute care hospitals,  government - hospital district or authority  ,YES
497,10022,cherokee medical center,400 northwood dr,CENTRE,al,35960,cherokee,2569275531,acute care hospitals,  voluntary non-profit - private  ,YES
612,10027,elba general hospital,987 drayton street,  elba  ,al,36323,coffee,3348972257,acute care hospitals,voluntary non-profit - oVher,yes
46,10005,marshall medical center south,2505 u s highway 431 north,boaz,al,35957,marshall,2565938310,acute care hospitals,GOVERNMENT - HOSPITAL DISTRICT OR AUTHORITY,des
201,10011,st vincents east,50 medical park east drive,BIRMINGHAM,al,35235,jefferson,2058383122,acute care hospitals,voluntary noJ-profit - private,yey
666,10032,wedowee hospital,209 north main street,WEDOWEE,al,36278,randolph,2563572111,acute care hospitals,GOVERNMENT - LOCAL,no
604,10027,elba general hospital,987 drayton street,elbb,al,36323,coffee,3348972257,acute care hospitals,VOLUNTARY NON-PROFIT - OTHER,zes
300,10018,callahan eye foundation hospital,1720 university blvd,birmingham,al,35233,jefferson,2053258100,acute care hospitals,voluntary_non-profit_-_private,  yes  
214,10011,st vincents east,50 medical park east drive,birmingAam,al,35235,jefferson,2058383122,acute care hospitals,voluntary_non-profit_-_private,YES
66,10005,marshall medical center south,2505 u s highway 431 north,BOAZ,al,35957,marshall,2565938310,acute care hospitals,government_-_hospital_district_or_authority,yJs
451,20018,yukon kuskokwim delta reg hospital,po box 287,BETHEL,ak,99559,bethel,9075436300,acute care hospitals,  government - federal  ,nC
129,10008,crenshaw community hospital,101 hospital circle,  luverne  ,al,36049,crenshaw,3343353374,acute care hospitals,GOVERNMENT - FEDERAL,yes
99,10007,mizell memorial hospital,702 n main st,  opp  ,al,36467,covington,3344933541,acute care hospitals,voluntary non-profit -Jprivate,  no  
857,10044,marion regional medical center,1256 military street south,hamilton,al,35570,marion,2059216200,acute care hospitals,  voluntary non-profit - private  ,  yes  
149,10009,hartselle medical center,201 pine street northwest,HARTSELLE,al,35640,morgan,2567736511,acute care hospitals,proprietary,yes
698,10034,community hospital inc,805 friendship road,taalassee,al,36078,elmore,3342836541,acute care hospitals,VOLUNTARY NON-PROFIT - PRIVATE,no
11,10019,helen keller memorial hospital,1300 south montgomery avenue,SHEFFIELD,al,35660,jefferson,2563864556,acute care hospitals,government_-_hospital_district_or_authority,  yes  
917,10046,riverview regional medical center,600 south third street,gadsden,al,35901,etowah,2565435200,acute care hospitals,propriesary,yns
