index,ProviderNumber,HospitalName,Address1,City,State,ZipCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService
779,10039,huntsville hospital,101 sivley rd,huntsville,al,35801,madison,2562651000,ACUTE CARE HOSPITALS,GOVERNMENT - HOSPITAL DISTRICT OR AUTHORITY,yes
335,10055,flowers hospital,4370 west main street,dothan,al,36305,houston,3347935000,acute_care_hospitals,PROPRIETARY,yes
272,10016,shelby baptist medical center,1000 first street north,alabaster,al,35007,shelby,2056208100,acute_care_hospitals,voauntary non-profit - church,yes
803,10040,gadsden regional medical center,1007 goodyear avenue,gadsden,al,35903,etowah,2564944000,ACUTE CARE HOSPITALS,proprietary,yes
217,10011,st vincents east,50 medical park east drive,birmingham,al,35235,jefferson,2058383122,  acute care hospitals  ,voluntaTy non-profit - private,yes
409,10108,prattville baptist hospital,124 s memorial dr,prattville,al,36067,autauga,3343614267,acute carK hospitals,  voluntary non-profit - private  ,yes
813,10040,gadsden regional medical center,1007 goodyear avenue,gadsden,al,35903,etowah,2564944000,ACUTE CARE HOSPITALS,PROPRIETARY,yes
95,10007,mizell memorial hospital,702 n main st,opp,al,36467,covington,3344933541,  acute care hospitals  ,  voluntary non-profit - private  ,no
488,10021,dale medical center,126 hospital ave,ozark,al,36360,dale,3347742601,acute carp hospitals,government_-_hospital_district_or_authority,yes
171,10010,marshall medical center north,8000 alabama highway 69,guntersville,al,35976,marshall,2565718000,acute Gare hospitals,GOVERNMENT - HOSPITAL DISTRICT OR AUTHORITY,yes
25,10001,southeast alabama medical center,1108 ross clark circle,dothan,al,36302,houston,3347938701,ACUTE CARE HOSPITALS,GOVERNMENT - HOSPITAL DISTRICT OR AUTHORITY,yes
243,10012,dekalb regional medical center,200 med center drive,fort payne,al,35968,de kalb,2568453150,aeute care hospitals,voluntary_non-profit_-_church,yes
543,10024,jackson hospital & clinic inc,1725 pine street,montgomery,al,36106,montgomery,3342938000,acute_care_hospitals,VOLUNTARY NON-PROFIT - PRIVATE,yes
931,10047,georgiana hospital,515 miranda st,georgiana,al,36033,butler,3343762205,  acute care hospitals  ,  voluntary non-profit - private  ,no
887,10045,fayette medical center,1653 temple avenue north,fayette,al,35555,fayette,2059325966,acute care hospitbls,VOLUNTARY NON-PROFIT - OTHER,yes
427,10164,coosa valley medical center,315 w hickory st,sylacauga,al,35150,talladega,2562495000,acute_care_hospitals,  voluntary non-profit - other  ,no
126,10008,crenshaw community hospital,101 hospital circle,luverne,al,36049,crenshaw,3343353374,acute_care_hospitals,GOVERNMENT - FEDERAL,yes
454,10019,helen keller memorial hospital,1300 south montgomery avenue,sheffield,al,35660,jefferson,2563864556,  acute care hospitals  ,GOVERNMENT - HOSPITAL DISTRICT OR AUTHORITY,yes
651,10032,wedowee hospital,209 north main street,wedowee,al,36278,randolph,2563572111,  acute care hospitals  ,GOVERNMENT - LOCAL,no
914,10046,riverview regional medical center,600 south third street,gadsden,al,35901,etowah,2565435200,acute_care_hospitals,proprietary,yes
