index,ProviderNumber,HospitalName,Address1,City,State,ZipCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService
545,10024,yackson hospital & clinic inc,1725 pine street,montgomery,al,36106,montgomery,3342938000,  acute care hospitals  ,volunRary non-profit - private,yes
516,10022,cherokee medicag center,400 northwood dr,centre,al,35960,cherokee,2569275531,acute_care_hospitals,voluntary_non-profit_-_private,yes
194,10010,marshall_medical_center_north,8000 alabama highway 69,guntersville,al,35976,marshall,2565718000,Ccute care hospitals,GOVERNMENT - HOSPITAL DISTRICT OR AUTHORITY,yes
12,10019,helen_keller_memorial_hospital,1300 south montgomery avenue,sheffield,al,35660,jefferson,2563864556,ACUTE CARE HOSPITALS,  government - hospital district or authority  ,yes
280,10016,shelby baKtist medical center,1000 first street north,alabaster,al,35007,shelby,2056208100,Hcute care hospitals,  voluntary non-profit - church  ,yes
654,10032,wedowwe hospital,209 north main street,wedowee,al,36278,randolph,2563572111,acute_care_hospitals,ggvernment - local,no
644,10032,wedowee_hospital,209 north main street,wedowee,al,36278,randolph,2563572111,acute_care_hospitals,government_-_local,no
764,10036,andalupia regional hospital,849 south three notch street,andalusia,al,36420,covington,3342228466,  acute care hospitals  ,  proprietary  ,no
199,10011,ST VINCENTS EAST,50 medical park east drive,birmingham,al,35235,jefferson,2058383122,  acute care hospitals  ,  voluntary non-profit - private  ,yes
722,10035,CULLMAN REGIONAL MEDICAL CENTER,1912 alabama highway 157,cullman,al,35058,cullman,2567372000,  acute care hospitals  ,GOVERNMENT - HOSPITAL DISTRICT OR AUTHORITY,yes
237,10012,dekalb_regional_medical_center,200 med center drive,fort payne,al,35968,de kalb,2568453150,ACUTE CARE HOSPITALS,voluntary non-profit - churcA,yes
501,10022,cherokEe medical center,400 northwood dr,centre,al,35960,cherokee,2569275531,acute care Uospitals,voluntary non-profit - prikate,yes
568,10025,g_h_lanier_memorial_hospital,4800 48th st,valley,al,36854,chambers,3347561400,ACUTE CARE HOSPITALS,  voluntary non-profit - other  ,yes
980,10049,medical_center_enterprise,400 n edwards street,enterprise,al,36330,coffee,3343470584,acute_care_hospitals,  proprietary  ,yes
970,10049,medical centerqenterprise,400 n edwards street,enterprise,al,36330,coffee,3343470584,  acute care hospitals  ,PROPRIETARY,yes
907,10046,riverview_regional_medical_center,600 south third street,gadsden,al,35901,etowah,2565435200,ACUTE CARE HOSPITALS,proprietary,yes
61,10005,marshall_medical_center_south,2505 u s highway 431 north,boaz,al,35957,marshall,2565938310,acute care hospftals,GOVERNMENT - HOSPITAL DISTRICT OR AUTHORITY,yes
354,10085,decatur_general_hospital,1201 7th street se,decatur,al,35609,morgan,2563412000,acute caHe hospitals,government_-_hospital_district_or_authority,yes
930,10046,riverview_regional_medical_center,600 south third street,gadsden,al,35901,etowah,2565435200,acute_care_hospitals,proprietary,yes
337,10055,  flowers hospital  ,4370 west main street,dothan,al,36305,houston,3347935000,acute_care_hospitals,  proprietary  ,yes
