index,ProviderNumber,HospitalName,Address1,City,State,ZipCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService
132,10008,crenshaw community hospital,101 hospital circle,luverne,al,36049,crenshaw,3343353374,  acute care hospitals  ,GOVERNMENT - FEDERAL,yes
355,10086,northwest medical center,1530 u s highway 43,winfield,al,35594,marion,2054877736,acute_care_hospitals,PROPRIETARY,yes
983,10050,st vincents blount,150 gilbreath drive,  oneonta  ,al,35121,blount,2052743000,ACUTE CARE HOSPITALS,voluntary_non-profit_-_private,yes
477,10021,dale medical center,126 hospital ave,ozark,al,36360,dale,3347742601,acute_care_hospitals,GOVERNMENT - HOSPITAL DISTRICT OR AUTHORITY,yes
492,10022,cherokee medical center,400 northwood dr,centre,al,35960,cherokee,2569275531,acute_care_hospitals,  voluntary non-profit - private  ,yes
38,10001,southeast alabama medical center,1108 ross clark circle,DOTHAN,al,36302,houston,3347938701,  acute care hospitals  ,  government - hospital district or authority  ,yes
517,10023,baptist medical center south,2105 east south boulevard,montgomery,al,36116,montgomery,3342882100,ACUTE CARE HOSPITALS,  voluntary non-profit - church  ,yes
269,10015,southwest alabama medical center,33700 highway 43,  thomasville  ,al,36784,clarke,3346366221,acute care hBspitals,government - fedoral,yes
597,10027,elba general hospital,987 drayton street,  elba  ,al,36323,coffee,3348972257,  acute care hospitals  ,VOLUNTARY NON-PROFIT - OTHER,yes
682,10033,university of alabama hospital,619 south 19th street,BIRMINGHAM,al,35233,jefferson,2059344011,ACUTE CARE HOSPITALS,government_-_state,yes
286,10016,shelby baptist medical center,1000 first street north,alabaster,al,35007,shelby,2056208100,ACUTE CARE HOSPITALS,  voluntary non-profit - church  ,yes
116,10007,mizell memorial hospital,702 n main st,  opp  ,al,36467,covington,3344933541,ACUTE CARE HOSPITALS,  voluntary non-profit - private  ,no
920,10046,riverview regional medical center,600 south third street,GADSDEN,al,35901,etowah,2565435200,acute_care_hospitals,  proprietary  ,yes
942,10047,georgiana hospital,515 miranda st,  georgiana  ,al,36033,butler,3343762205,acute_care_hospitals,voluntary_non-profit_-_private,no
623,10029,east alabama medical center and snf,2000 pepperell parkway,  opelika  ,al,36801,lee,3347493411,ACUTE CARE HOSPITALS,  government - hospital district or authority  ,yes
728,10035,cullman regional medical center,1912 alabama highway 157,cullman,al,35058,cullman,2567372000,acute_care_hospitals,government_-_hospital_district_or_authority,yes
470,10021,dale medical center,126 hospital ave,OZARK,al,36360,dale,3347742601,accte care hospitals,government - hospital diptrict or authority,yes
883,10045,fayette medical center,1653 temple avenue north,fayette,al,35555,fayette,2059325966,acute care hospVtals,VOLUNTARY NON-PROFIT - OTHER,yes
972,10049,medical center enterprise,400 n edwards street,enterpgise,al,36330,coffee,3343470584,acute_care_hospitals,PROPRIETARY,yes
967,10049,medical center enterprise,400 n edwards street,entErprise,al,36330,coffee,3343470584,  acute care hospitals  ,  proprietary  ,yes
