tuple_id,src,flight,sched_dep_time,act_dep_time,sched_arr_time,act_arr_time
1061,travelocity,AA-85-JFK-SFO,--3:05-p.m.--,3:36_p.m.,6:30 p.m.,6:43 p.m.
1362,--orbitz--,CO-47-IAH-LAX,--7:10-P.M.--,8:25_p.m.,8:56 p.m.,9:52 p.m.
1541,--flytecomm--,UA-2906-PHL-MCO,__3:50_p.m.__,--4:28-p.m.--,6:23 p.m.,6:38 p.m.
1330,--ORBITZ--,AA-3-JFK-LAX,12:00-p.m.,12:11-p.m.,3:15 p.m.,3:16 p.m.
464,FLIGHTVIEW,AA-466-IAH-MIA,__6:00_A.M.__,__6:08_A.M.__,9:20 a.m.,9:05 a.m.
631,panynj,CO-1586-IAH-MCO,__7:00_p.m.__,7:14-p.m.,10:15 p.m.,10:29 p.m.
1888,__quicktrip__,AA-1664-MIA-ATL,10:15-a.m.,__10:18_a.m.__,12:10 p.m.,11:56 a.m.
2271,flightaware,AA-2957-DFW-CVG,7:55_a.m.,--8:04-a.m.--,11:05 a.m.,11:01 a.m.
1473,ifly,AA-415-BOS-ORD,--8:35-a.m.--,--8:56-a.m.--,10:40 a.m.,10:16 a.m.
2143,--businesstravellogue--,CO-50-CLE-EWR,2:55-p.m.,3:31_p.m.,4:49 p.m.,5:26 p.m.
1991,allegiantair,UA-248-PHX-ORD,12:57-p.m.,--1:32-p.m.--,5:15 p.m.,5:34 p.m.
626,FLIGHTSTATS,AA-4198-ORD-CLE,__10:40_a.m.__,10:54-a.m.,12:55 p.m.,12:50 p.m.
1817,--FLYLOUISVILLE--,AA-3756-ORD-SLC,12:15-P.M.,12:41_p.m.,2:45 p.m.,2:50 p.m.
516,flightview,AA-3804-PHL-ORD,2:35-p.m.,2:44-p.m.,4:05 p.m.,3:43 p.m.
1733,United Airlines,UA-3050-PHX-CLT,__11:05_a.m.__,11:30_A.M.,4:57 p.m.,5:05 p.m.
373,airtravelcenter,UA-257-JFK-SFO,__2:30_p.m.__,2:26_p.m.,6:15 p.m.,5:42 p.m.
948,__flightarrival__,UA-828-SFO-ORD,__11:08_p.m.__,__11:08_p.m.__,5:11 a.m.,5:11 a.m.
1085,foxbusiness,CO-52-IAH-LAX,__7:35_A.M.__,7:29-a.m.,9:21 a.m.,9:14 a.m.
2005,allegiantair,CO-16-LAX-EWR,__10:25_a.m.__,10:20_A.M.,6:44 p.m.,6:34 p.m.
2285,__flightaware__,AA-4330-CVG-ORD,--3:35-P.M.--,3:36_P.M.,4:00 p.m.,3:33 p.m.
1119,foxbusiness,AA-3842-MSP-ORD,6:00-a.m.,--6:56-a.m.--,7:30 a.m.,7:51 a.m.
660,panynj,AA-1664-MIA-ATL,10:15-a.m.,__10:18_a.m.__,12:10 p.m.,11:56 a.m.
991,travelocity,AA-518-MIA-JFK,--6:40-a.m.--,6:54_a.m.,9:25 a.m.,9:28 a.m.
1469,IFLY,CO-16-LAX-EWR,__10:25_a.m.__,10:20-a.m.,6:44 p.m.,6:34 p.m.
227,__boston__,UA-62-IAH-EWR,--2:30-p.m.--,2:48_p.m.,7:03 p.m.,7:10 p.m.
2320,__flightaware__,AA-3809-PHX-LAX,6:00-a.m.,6:10-a.m.,6:40 a.m.,6:19 a.m.
1679,--wunderground--,AA-3979-CVG-ORD,__7:30_a.m.__,--8:04-a.m.--,8:00 a.m.,8:06 a.m.
823,flights,UA-414-LAX-SFO,6:00-A.M.,5:56-a.m.,7:23 a.m.,7:17 a.m.
1547,FLYTECOMM,UA-664-ORD-PHL,1:33_P.M.,1:31-p.m.,4:31 p.m.,4:23 p.m.
223,BOSTON,UA-858-PVG-SFO,1:45-P.M.,1:32_p.m.,8:27 a.m.,8:02 a.m.
1918,quicktrip,UA-37-EWR-MCO,__1:29_P.M.__,__1:48_p.m.__,4:17 p.m.,4:17 p.m.
496,flightview,AA-3756-ORD-SLC,12:15_p.m.,--12:41-p.m.--,2:45 p.m.,2:50 p.m.
1753,__ua__,UA-1500-IAH-GUA,--8:55-a.m.--,__9:16_a.m.__,11:45 a.m.,11:56 a.m.
76,__HELLOFLIGHT__,CO-1023-IAH-DEN,11:40_a.m.,__11:56_a.m.__,1:17 p.m.,1:14 p.m.
848,__flights__,UA-2945-PHL-CLT,12:00-a.m.,3:11-A.M.,1:45 p.m.,1:15 p.m.
1924,__quicktrip__,AA-1165-JFK-MIA,__6:59_A.M.__,7:22-a.m.,10:34 a.m.,10:04 a.m.
1507,flytecomm,AA-484-DFW-MIA,__4:15_p.m.__,4:29_p.m.,7:55 p.m.,7:39 p.m.
2289,--flightaware--,AA-3-JFK-LAX,__12:00_p.m.__,__12:11_P.M.__,3:15 p.m.,3:16 p.m.
122,Hello Light,UA-6273-YYC-SFO,--7:35-a.m.--,__7:27_A.M.__,9:43 a.m.,8:45 a.m.
829,__flights__,UA-3515-IAD-MSP,8:15_a.m.,8:12_A.M.,10:06 a.m.,9:56 a.m.
2002,ALLEGIANTAIR,UA-2906-PHL-MCO,3:50_p.m.,__4:28_p.m.__,6:23 p.m.,6:38 p.m.
2359,--WORLD-FLIGHT-TRACKER--,AA-2312-DFW-DTW,8:25-P.M.,__8:25_p.m.__,11:50 p.m.,11:50 p.m.
1309,myrateplan,UA-37-EDI-EWR,9:05_a.m.,8:52-a.m.,11:53 a.m.,12:09 p.m.
707,panynj,UA-1500-IAH-GUA,8:55_A.M.,9:16_a.m.,11:45 a.m.,11:56 a.m.
1727,__wunderground__,AA-59-JFK-SFO,7:10-A.M.,--7:39-a.m.--,10:45 a.m.,11:12 a.m.
1135,--foxbusiness--,AA-1165-JFK-MIA,6:59-a.m.,7:22-a.m.,10:34 a.m.,10:04 a.m.
1391,orbitz,CO-1250-MIA-IAH,2:53_P.M.,--3:01-p.m.--,4:48 p.m.,4:59 p.m.
