index,ProviderNumber,HospitalName,Address1,City,State,ZipCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService
946,10047,georgiana hospital,515 miranda st,georgiana,al,36033,butler,3343762205,acute care hospitals,voluntary non-profit - private,no
453,10019,helen keller memorial hospital,1300 south montgomery avenue,sheffield,al,35660,jefferson,2563864556,acute care hospitals,government - hospital district or authority,yes
305,10018,callahan eye foundation hospital,1720 university blvd,birmingham,al,35233,jefferson,2053258100,acute care hospitals,voluntary non-profit - private,yes
434,20017,alaska regional hospital,2801 debarr road,anchorage,ak,99508,anchorage,9072761131,acute care hospitals,proprietary,yes
865,10044,marion regional medical center,1256 military street south,hamilton,al,35570,marion,2059216200,acute care hospitals,voluntary non-profit - private,yes
292,10016,shelby baptist medical center,1000 first street north,alabaster,al,35007,shelby,2056208100,acute care hospitals,voluntary non-profit - church,yes
987,10050,st vincents blount,150 gilbreath drive,oneonta,al,35121,blount,2052743000,acute care hospitals,voluntary non-profit - private,yes
924,10046,riverview regional medical center,600 south third street,gadsden,al,35901,etowah,2565435200,acute care hospitals,proprietary,yes
261,10015,southwest alabama medical center,33700 highway 43,thomasville,al,36784,clarke,3346366221,acute care hospitals,government - federal,yes
547,10024,jackson hospital & clinic inc,1725 pine street,montgomery,al,36106,montgomery,3342938000,acute care hospitals,voluntary non-profit - private,yes
592,10027,elba general hospital,987 drayton street,elba,al,36323,coffee,3348972257,acute care hospitals,voluntary non-profit - other,yes
391,10087,univ of south alabama medical center,2451 fillingim street,mobile,al,36617,mobile,2514717110,acute care hospitals,government - state,yes
408,10108,prattville baptist hospital,124 s memorial dr,prattville,al,36067,autauga,3343614267,acute care hospitals,voluntary non-profit - private,yes
262,10015,southwest alabama medical center,33700 highway 43,thomasville,al,36784,clarke,3346366221,acute care hospitals,government - federal,yes
595,10027,elba general hospital,987 drayton street,elba,al,36323,coffee,3348972257,acute care hospitals,voluntary non-profit - other,yes
619,10029,east alabama medical center and snf,2000 pepperell parkway,opelika,al,36801,lee,3347493411,acute care hospitals,government - hospital district or authority,yes
197,10011,st vincents east,50 medical park east drive,birmingham,al,35235,jefferson,2058383122,acute care hospitals,voluntary non-profit - private,yes
79,10006,eliza coffee memorial hospital,205 marengo street,florence,al,35631,lauderdale,2567688400,acute care hospitals,voluntary non-profit - other,yes
766,10036,andalusia regional hospital,849 south three notch street,andalusia,al,36420,covington,3342228466,acute care hospitals,proprietary,no
645,10032,wedowee hospital,209 north main street,wedowee,al,36278,randolph,2563572111,acute care hospitals,government - local,no
