index,ProviderNumber,HospitalName,Address1,City,State,ZipCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService
520,10023,baptist medical center south,2105 east south boulevard,montgomery,al,36116,montgomery,3342882100,acute care hospitals,voluntary non-profit - church,yes
838,10043,chilton medical center,1010 lay dam road,clanton,al,35045,chilton,2057552500,acute care hospitals,voluntary non-profit - private,yes
209,10011,st vincents east,50 medical park east drive,birmingham,al,35235,jefferson,2058383122,acute care hospitals,voluntary non-profit - private,yes
526,10023,baptist medical center south,2105 east south boulevard,montgomery,al,36116,montgomery,3342882100,acute care hospitals,voluntary non-profit - church,yes
979,10049,medical center enterprise,400 n edwards street,enterprise,al,36330,coffee,3343470584,acute care hospitals,proprietary,yes
584,10025,g h lanier memorial hospital,4800 48th st,valley,al,36854,chambers,3347561400,acute care hospitals,voluntary non-profit - other,yes
509,10022,cherokee medical center,400 northwood dr,centre,al,35960,cherokee,2569275531,acute care hospitals,voluntary non-profit - private,yes
159,10009,hartselle medical center,201 pine street northwest,hartselle,al,35640,morgan,2567736511,acute care hospitals,proprietary,yes
590,10025,g h lanier memorial hospital,4800 48th st,valley,al,36854,chambers,3347561400,acute care hospitals,voluntary non-profit - other,yes
202,10011,st vincents east,50 medical park east drive,birmingham,al,35235,jefferson,2058383122,acute care hospitals,voluntary non-profit - private,yes
281,10016,shelby baptist medical center,1000 first street north,alabaster,al,35007,shelby,2056208100,acute care hospitals,voluntary non-profit - church,yes
168,10009,hartselle medical center,201 pine street northwest,hartselle,al,35640,morgan,2567736511,acute care hospitals,proprietary,yes
975,10049,medical center enterprise,400 n edwards street,enterprise,al,36330,coffee,3343470584,acute care hospitals,proprietary,yes
96,10007,mizell memorial hospital,702 n main st,opp,al,36467,covington,3344933541,acute care hospitals,voluntary non-profit - private,no
237,10012,dekalb regional medical center,200 med center drive,fort payne,al,35968,de kalb,2568453150,acute care hospitals,voluntary non-profit - church,yes
204,10011,st vincents east,50 medical park east drive,birmingham,al,35235,jefferson,2058383122,acute care hospitals,voluntary non-profit - private,yes
791,10039,huntsville hospital,101 sivley rd,huntsville,al,35801,madison,2562651000,acute care hospitals,government - hospital district or authority,yes
429,10164,coosa valley medical center,315 w hickory st,sylacauga,al,35150,talladega,2562495000,acute care hospitals,voluntary non-profit - other,no
999,10050,st vincents blount,150 gilbreath drive,oneonta,al,35121,blount,2052743000,acute care hospitals,voluntary non-profit - private,yes
382,10087,univ of south alabama medical center,2451 fillingim street,mobile,al,36617,mobile,2514717110,acute care hospitals,government - state,yes
