LoanAmount,City,State,Zip,NAICSCode,BusinessType,RaceEthnicity,Gender,Veteran,JobsReported,DateApproved,Lender,CD
48875.0,KAHUKU,HI,96731,424480.0,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,8.0,06/12/2020,FIRST HAWAIIAN BANK,HI-02
69100.0,HONOLULU,HI,96818,339999.0,Corporation,Unknown,,Unanswered,14.0,04/05/2020,"ASB, FSB",HI-01
35700.0,Honolulu,HI,96816,611610.0,Non-Profit Organization,Unanswered,Unanswered,Unanswered,0.0,05/14/2020,Central Pacific Bank,HI-01
98200.0,Honolulu,HI,96818,311340.0,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,38.0,04/29/2020,"Zions Bank, A Division of",HI-01
16032.0,HONOLULU,HI,96818,561720.0,Subchapter S Corporation,Unknown,,Unanswered,,06/10/2020,Bank of Hawaii,HI-01
15000.0,KAPOLEI,HI,96707,531210.0,Corporation,Unanswered,Unanswered,Unanswered,2.0,04/05/2020,Central Pacific Bank,HI-02
7500.0,LAHAINA,HI,96761,713990.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,1.0,04/29/2020,Central Pacific Bank,HI-02
9500.0,Pearl City,HI,96782,446120.0,Corporation,Asian,Unanswered,Unanswered,0.0,06/03/2020,Central Pacific Bank,HI-01
49297.0,Makawao,HI,96768,236115.0,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,06/16/2020,Celtic Bank Corporation,HI-02
93750.0,LIHUE,HI,96766,621111.0,Corporation,Unanswered,Unanswered,Unanswered,5.0,04/27/2020,Bank of Hawaii,HI-02
8750.0,honolulu,HI,96814,541990.0,Sole Proprietorship,Unknown,Unanswered,Unanswered,1.0,04/29/2020,WebBank,HI-01
1250.0,Kamuela,HI,96743,541511.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,1.0,05/28/2020,Hawaii First FCU,HI-02
21890.0,HONOLULU,HI,96819,722513.0,Corporation,Unknown,,Unanswered,6.0,04/27/2020,Bank of Hawaii,HI-01
20800.0,KAILUA KONA,HI,96740,531210.0,Sole Proprietorship,Unanswered,Unanswered,Unanswered,1.0,04/12/2020,Central Pacific Bank,HI-02
21665.0,KAPAA,HI,96746,561720.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,2.0,04/13/2020,Bank of Hawaii,HI-02
11592.0,HALEIWA,HI,96712,561520.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,7.0,05/11/2020,Bank of Hawaii,HI-02
10453.0,HONOLULU,HI,96813,445210.0,Limited  Liability Company(LLC),Unknown,,Unanswered,10.0,05/13/2020,Intuit Financing Inc.,HI-01
45400.0,HONOLULU,HI,96817,453110.0,Limited  Liability Company(LLC),Asian,Female,Non-Veteran,7.0,04/09/2020,Hawaii National Bank.,HI-01
96100.0,Honolulu,HI,96816,811121.0,Corporation,Asian,Male Owned,Non-Veteran,10.0,04/15/2020,Hawaii National Bank.,HI-01
92900.0,WAIPAHU,HI,96797,621111.0,Corporation,Unanswered,Unanswered,Unanswered,6.0,04/15/2020,FIRST HAWAIIAN BANK,HI-01
