LoanAmount,City,State,Zip,NAICSCode,BusinessType,RaceEthnicity,Gender,Veteran,JobsReported,DateApproved,Lender,CD
20000.0,HONOLULU,HI,96813,541211.0,Corporation,Unknown,,Unanswered,4.0,04/06/2020,Central Pacific Bank,HI-01
4800.0,Honolulu,HI,96821,541219.0,Self-Employed Individuals,Unanswered,Unanswered,Unanswered,0.0,05/06/2020,Central Pacific Bank,HI-01
44173.07,Kailua Kona,HI,96740,813211.0,Non-Profit Organization,Unanswered,Unanswered,Unanswered,0.0,05/21/2020,Central Pacific Bank,HI-02
130300.0,HONOLULU,HI,96825,713990.0,Corporation,Unknown,,Unanswered,22.0,04/27/2020,FIRST HAWAIIAN BANK,HI-01
57832.0,HOLUALOA,HI,96725,236117.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,7.0,04/27/2020,Bank of Hawaii,HI-02
45000.0,Honolulu,HI,96819,722513.0,Corporation,Asian,Male Owned,Non-Veteran,7.0,04/28/2020,Hawaii National Bank.,HI-01
8547.0,HONOLULU,HI,96817,812112.0,Limited  Liability Company(LLC),Unknown,,Unanswered,1.0,05/11/2020,Bank of Hawaii,HI-01
3802.5,WAIKOLOA,HI,96738,236220.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,1.0,05/06/2020,FIRST HAWAIIAN BANK,HI-02
2514.46,Honolulu,HI,96813,485310.0,Self-Employed Individuals,Unanswered,Unanswered,Unanswered,0.0,05/13/2020,Celtic Bank Corporation,HI-01
7250.0,WAIMANALO,HI,96795,115112.0,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,1.0,04/27/2020,FIRST HAWAIIAN BANK,HI-02
21100.0,HONOLULU,HI,96813,541199.0,Limited  Liability Company(LLC),Unknown,,Unanswered,1.0,04/13/2020,Central Pacific Bank,HI-01
35200.0,KAHULUI,HI,96732,813110.0,Sole Proprietorship,Unanswered,Unanswered,Unanswered,22.0,04/09/2020,Central Pacific Bank,HI-02
12200.0,Kailua,HI,96734,621210.0,Corporation,Unanswered,Unanswered,Unanswered,1.0,04/29/2020,"American Savings Bank, FSB(First State Bank)",HI-02
70000.0,LAHAINA,HI,96761,621111.0,Corporation,Unanswered,Unanswered,Unanswered,2.0,04/07/2020,Central Pacific Bank,HI-02
29100.0,HONOLULU,HI,96813,621111.0,Corporation,Unknown,,Unanswered,3.0,04/11/2020,Central Pacific Bank,HI-01
31800.0,KANEOHE,HI,96744,311919.0,Limited  Liability Company(LLC),Asian,Male Owned,Non-Veteran,3.0,04/04/2020,"American Savings Bank, FSB",HI-02
15000.0,Pearl City,HI,96782,531210.0,Sole Proprietorship,Unanswered,Unanswered,Unanswered,0.0,05/26/2020,Central Pacific Bank,HI-01
27435.0,VOLCANO,HI,96785,424930.0,Corporation,Unanswered,Unanswered,Unanswered,,2020-04-30,Bank of Hawaii,HI-02
89554.0,Honolulu,HI,96813,621111.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,6.0,05/19/2020,FIRST HAWAIIAN BANK,HI-01
4425.0,HONOLULU,HI,96815,812112.0,Self-Employed Individuals,Unknown,,Unanswered,1.0,04/29/2020,Central Pacific Bank,HI-01
