LoanAmount,City,State,Zip,NAICSCode,BusinessType,RaceEthnicity,Gender,Veteran,JobsReported,DateApproved,Lender,CD
123300.0,Kan‘eohe,HI,96744,238220.0,CORPORATION,UNANSWERED,UNANSWERED,UNANSWERED,8.0,04/14/2020,CENTRAL PACIFIC BANK,HI-02
85000.0,  Honnolulu  ,HI,96814,451110.0,CORPORATION,UNANSWERED,UNANSWERED,UNANSWERED,,04/16/2020,CENTRAL PACIFIC BANK,HI-01
7400.0,  Aieaa  ,HI,96701,423990.0,SUBCHAPTER S CORPORATION,UNANSWERED,UNANSWERED,UNANSWERED,1.0,05/01/2020,FIRST HAWAIIAN BANK,HI-01
20800.0,honolulu,HI,96825,541990.0,LIMITED  LIABILITY COMPANY(LLC),UNANSWERED,MALE OWNED;,UNANSWERED,1.0,04/04/2020,BANKVISTA,HI-01
24779.0,  honnolulu  ,HI,96822,541611.0,NON-PROFIT ORGANIZATION,UNKNOWN,,UNANSWERED,,04/15/2020,BANK OF HAWAII,HI-01
52300.0,  kala‘heo  ,HI,96741,722511.0,LIMITED  LIABILITY COMPANY(LLC),UNANSWERED,UNANSWERED,UNANSWERED,7.0,04/05/2020,"ASB, FSB",HI-02
2099.31,  honululu  ,HI,96825,812112.0,SELF-EMPLOYED INDIVIDUALS,UNANSWERED,UNANSWERED,UNANSWERED,0.0,04/29/2020,CELTIC BANK CORPORATION,HI-01
39800.0,  Kala‘heo  ,HI,96741,811111.0,SUBCHAPTER S CORPORATION,UNANSWERED,UNANSWERED,UNANSWERED,4.0,2020-04-30,FIRST HAWAIIAN BANK,HI-02
57832.0,  holualoa  ,HI,96725,236117.0,LIMITED  LIABILITY COMPANY(LLC),UNANSWERED,UNANSWERED,UNANSWERED,7.0,04/27/2020,BANK OF HAWAII,HI-02
6357.0,Honololu,HI,96816,531210.0,SOLE PROPRIETORSHIP,UNKNOWN,,UNANSWERED,1.0,07/27/2020,HAWAIIUSA FCU,HI-01
79582.0,  honululu  ,HI,96815,722511.0,LIMITED  LIABILITY COMPANY(LLC),UNKNOWN,,UNANSWERED,15.0,04/27/2020,BANK OF HAWAII,HI-01
20800.0,  kaila  ,HI,96734,621330.0,SUBCHAPTER S CORPORATION,UNANSWERED,UNANSWERED,UNANSWERED,1.0,2020-04-30,"AMERICAN SAVINGS BANK, FSB(FIRST STATE BANK)",HI-02
20800.0,honnolulu,HI,96815,531210.0,SOLE PROPRIETORSHIP,UNANSWERED,MALE OWNED,NON-VETERAN,1.0,05/19/2020,HAWAII NATIONAL BANK.,HI-01
29200.0,Honlulu,HI,96816,541199.0,CORPORATION,UNKNOWN,,UNANSWERED,5.0,04/29/2020,"AMERICAN SAVINGS BANK, FSB(FIRST STATE BANK)",HI-01
15000.0,  hlo  ,HI,96720,811111.0,LIMITED  LIABILITY COMPANY(LLC),UNANSWERED,UNANSWERED,UNANSWERED,3.0,04/04/2020,CENTRAL PACIFIC BANK,HI-02
44173.07,  kailua  ,HI,96740,813211.0,NON-PROFIT ORGANIZATION,UNANSWERED,UNANSWERED,UNANSWERED,0.0,05/21/2020,CENTRAL PACIFIC BANK,HI-02
29078.0,holualoa,HI,96725,562920.0,CORPORATION,UNANSWERED,UNANSWERED,UNANSWERED,4.0,04/05/2020,CENTRAL PACIFIC BANK,HI-02
27500.0,  lih‘ue  ,HI,96766,531311.0,CORPORATION,UNANSWERED,MALE OWNED,NON-VETERAN,2.0,2020-04-30,FIRST HAWAIIAN BANK,HI-02
8800.0,Kala‘heo,HI,96746,541430.0,SELF-EMPLOYED INDIVIDUALS,UNANSWERED,UNANSWERED,UNANSWERED,0.0,05/06/2020,CENTRAL PACIFIC BANK,HI-02
11041.0,  honolulu  ,HI,96818,722513.0,SELF-EMPLOYED INDIVIDUALS,UNANSWERED,UNANSWERED,UNANSWERED,9.0,04/29/2020,CROSS RIVER BANK,HI-01
