LoanAmount,City,State,Zip,NAICSCode,BusinessType,RaceEthnicity,Gender,Veteran,JobsReported,DateApproved,Lender,CD
2645.79,Honolulu,HI,96814,812112.0,Sole Proprietorship,Unanswered,Unanswered,Unanswered,0.0,05/03/2020,Celtic Bank Corporation,HI-01
13600.0,HONOLULU,HI,96822,522390.0,Limited  Liability Company(LLC),Unknown,,Unanswered,1.0,04/28/2020,Central Pacific Bank,HI-01
4125.0,HONOLULU,HI,96818,517919.0,Corporation,Unknown,,Unanswered,4.0,05/01/2020,"JPMorgan Chase Bank, National Association",HI-01
16800.0,KAMUELA,HI,96743,238320.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,5.0,05/07/2020,"American Savings Bank, FSB(First State Bank)",HI-02
44500.0,HONOLULU,HI,96822,621111.0,Limited  Liability Company(LLC),Unknown,,Unanswered,1.0,04/29/2020,FIRST HAWAIIAN BANK,HI-01
3400.0,HONOLULU,HI,96815,812990.0,Limited  Liability Company(LLC),Unknown,,Unanswered,14.0,04/03/2020,Central Pacific Bank,HI-01
25910.15,LIHUE,HI,96766,541110.0,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,04/15/2020,Bank of Alma,HI-02
29200.0,HONOLULU,HI,96816,541199.0,Corporation,Unknown,,Unanswered,5.0,04/29/2020,"American Savings Bank, FSB(First State Bank)",HI-01
20800.0,HONOLULU,HI,96815,448310.0,Sole Proprietorship,Unknown,,Unanswered,1.0,06/19/2020,Ohana Pacific Bank,HI-01
10097.0,HONOLULU,HI,96821,541690.0,Limited  Liability Company(LLC),Unknown,,Unanswered,1.0,05/28/2020,Bank of Hawaii,HI-01
29775.0,ihei,HI,96753,236115.0,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,06/18/2020,Celtic Bank Corporation,HI-02
4170.2,KOLOA,HI,96756,561720.0,Independent Contractors,Unanswered,Unanswered,Unanswered,1.0,05/05/2020,Kaua'i Government Employees' FCU;,HI-02
3100.0,HONOLULU,HI,96818,485310.0,Self-Employed Individuals,Asian,Male Owned;,Non-Veteran,1.0,2020-04-30,Ohana Pacific Bank,HI-01
69890.0,Kapaa,HI,96746,236118.0,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,5.0,04/14/2020,FIRST HAWAIIAN BANK,HI-02
16500.0,Honolulu,HI,96816,531210.0,Sole Proprietorship,Asian,Female Owned;,Non-Veteran,1.0,05/07/2020,Hawaii National Bank.,HI-01
32587.0,KEAAU,HI,96749,424440.0,Corporation,White,Male Owned,Veteran,,04/14/2020,Bank of Hawaii,HI-02
2163.0,WAIPAHU,HI,96797,531210.0,Sole Proprietorship,Unanswered,Unanswered,Unanswered,0.0,05/02/2020,Central Pacific Bank,HI-01
25000.0,KULA,HI,96790,531311.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,1.0,04/07/2020,Central Pacific Bank,HI-02
9700.0,Volcano,HI,96785,621399.0,Sole Proprietorship,Unanswered,Unanswered,Unanswered,0.0,05/01/2020,Central Pacific Bank,HI-02
13600.0,HONOLULU,HI,96822,812990.0,Limited  Liability Company(LLC),Asian,Female,Unanswered,1.0,04/28/2020,HawaiiUSA FCU,HI-01
